parcel_id,owner_name,transfer_date,transfer_type,deed_number,price_inr,flag_rapid_resale
P-131,Ananya Babu,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-131,2500000,False
P-131,Sujatha Varma,2022-09-18,Registered Sale Deed,TS-DHARANI-2022-P-131,4200000,False
P-132,Praveen Chary,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-132,2500000,False
P-133,Praveen Chary,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-133,2500000,False
P-134,Swapna Yadav,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-134,2500000,False
P-134,Kavitha Rao,2022-09-18,Registered Sale Deed,TS-DHARANI-2022-P-134,4200000,False
P-135,Swapna Babu,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-135,2500000,False
P-135,Prasad Sharma,2022-09-18,Registered Sale Deed,TS-DHARANI-2022-P-135,4200000,False
P-136,Sujatha Naidu,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-136,2500000,False
P-137,Suresh Naidu,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-137,2500000,False
P-138,Sujatha Kumar,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-138,2500000,False
P-139,Prasad Kumar,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-139,2500000,False
P-139,Sujatha Goud,2022-09-18,Registered Sale Deed,TS-DHARANI-2022-P-139,4200000,False
P-140,Praveen Sharma,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-140,2500000,False
P-140,Ananya Babu,2022-09-18,Registered Sale Deed,TS-DHARANI-2022-P-140,4200000,False
P-141,Swapna Sharma,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-141,2500000,False
P-141,Anand Varma,2022-09-18,Registered Sale Deed,TS-DHARANI-2022-P-141,4200000,False
P-142,Mahesh Babu,2016-04-12,Pattadar Passbook / Legacy RoR,DHARANI-2016-P-142,2500000,False
